Longitude,Latitude,Elevation,Date,ppt,temp
-120,38,1612,1924,761.15,10.3
-119.9,38,1541,1924,754.09,10.5
-119.8,38,1966,1924,769.09,8.3
-119.7,38,2288,1924,801.12,6.6
-119.6,38,2578,1924,854.23,4.5
-119.5,38,2883,1924,887.19,2.6
-119.4,38,2823,1924,697.86,2.5
-119.3,38,3199,1924,887.9,1
-119.2,38,3195,1924,580.28,1.3
-119.1,38,1944,1924,161.58,7.7
-119,38,1944,1924,159.36,7.6
-118.9,38,1953,1924,161.44,7.4
-118.8,38,2287,1924,171.11,5.5
-118.7,38,2157,1924,125,6.3
-118.6,38,2279,1924,134.38,6
-118.5,38,2384,1924,144.95,5.8
-118.4,38,2338,1924,138.47,6
-118.3,38,2020,1924,106.33,7.7
-118.2,38,1827,1924,90.06,9.1
-118.1,38,1675,1924,77.07,10.3
-118,38,1401,1924,47.18,12
-120,37.9,1199,1924,680.75,11.9
-119.9,37.9,1242,1924,646.96,11.8
-119.8,37.9,1589,1924,681.12,10
-119.7,37.9,1993,1924,718.18,8.3
-119.6,37.9,2132,1924,722.88,7
-119.5,37.9,2400,1924,764.53,5.3
-119.4,37.9,2589,1924,623.73,3.4
-119.3,37.9,3200,1924,881.37,1.1
-119.2,37.9,3271,1924,701.78,1
-119.1,37.9,2060,1924,181.04,7.2
-119,37.9,2091,1924,188.43,6.9
-118.9,37.9,2211,1924,203.38,6.1
-118.8,37.9,2327,1924,211.5,5.4
-118.7,37.9,2037,1924,116.23,6.9
-118.6,37.9,1997,1924,110.89,7.7
-118.5,37.9,1898,1924,102.63,8.6
-118.4,37.9,1891,1924,101.88,8.6
-118.3,37.9,2603,1924,157.6,5.2
-118.2,37.9,2000,1924,103.63,7.9
-118.1,37.9,1696,1924,81.89,10.2
-118,37.9,1561,1924,67.48,11.2
-120,37.8,1214,1924,683.65,11.7
-119.9,37.8,1399,1924,667.44,11.2
-119.8,37.8,1709,1924,658.41,9.6
-119.7,37.8,2270,1924,746.92,7.1
-119.6,37.8,2401,1924,726.32,6
-119.5,37.8,2380,1924,743.69,5.7
-119.4,37.8,2786,1924,805.95,3
-119.3,37.8,3287,1924,837.26,0.8
-119.2,37.8,3504,1924,1153.51,-0.2
-119.1,37.8,2456,1924,330.44,4.4
-119,37.8,2450,1924,300.37,4.2
-118.9,37.8,2474,1924,320.66,4.3
-118.8,37.8,2829,1924,366.73,3.8
-118.7,37.8,2758,1924,296.85,4
-118.6,37.8,2059,1924,123.49,7.5
-118.5,37.8,1848,1924,97.53,9.1
-118.4,37.8,2129,1924,122.72,7.8
-118.3,37.8,3021,1924,207.2,2.6
-118.2,37.8,2185,1924,124.37,7.2
-118.1,37.8,1487,1924,65.22,11.1
-118,37.8,1451,1924,62.2,11.3
-120,37.7,885,1924,620.72,12.6
-119.9,37.7,1152,1924,662.42,12.4
-119.8,37.7,1449,1924,640.25,11.6
-119.7,37.7,1480,1924,642,11.2
-119.6,37.7,2269,1924,659.08,6.9
-119.5,37.7,2408,1924,668.25,6
-119.4,37.7,2928,1924,807.22,2.6
-119.3,37.7,3250,1924,816.09,1.1
-119.2,37.7,3325,1924,1055.59,0.8
-119.1,37.7,2969,1924,661.37,2.6
-119,37.7,2410,1924,329.53,4.5
-118.9,37.7,2348,1924,278.42,4.9
-118.8,37.7,2095,1924,131.07,6.2
-118.7,37.7,2173,1924,140.36,6.1
-118.6,37.7,2382,1924,148.19,6
-118.5,37.7,1786,1924,97.79,9.5
