https://www.usgs.gov/data/density-and-magnetic-properties-selected-rock-samples-western-us-and-alaska
https://www.sciencebase.gov/catalog/item/60356a96d34eb120311748e8


LAT_nad27,LONG_nad27,GD_kg_m3,SBD_kg_m3,DBD_kg_m3,
41.848833,-117.281667,2330,2220,2140,
41.908833,-118.324833,2370,2220,2120,
41.943667,-118.295333,2690,2620,2570,
41.932333,-119.8855,2660,2570,2520,
41.709167,-119.9635,2580,2460,2380,
41.3135,-119.964333,2370,2210,2090,
41.234667,-119.607833,2440,2280,2170,
38.400833,-122.673667,2900,2900,2890,
38.400833,-122.673667,2450,2440,2430,
,,,,,
33.090833,-116.292833,2700,2660,2630,
37.890667,-122.2265,2580,2320,2160,
37.890667,-122.2265,2440,2190,2020,
37.8145,-122.0695,2430,2280,2180,
37.8145,-122.0695,2520,2350,2240,
37.928333,-122.300667,2520,2250,2070,
37.928333,-122.300667,2480,2210,2030,
37.947,-122.316,2440,2120,1890,
37.884667,-122.239167,2620,2530,2470,
37.882167,-122.234833,2660,2630,2610,
37.882167,-122.234833,2540,2500,2470,
37.879833,-122.218667,2790,2780,2770,
37.879833,-122.218667,2780,2760,2750,
37.822333,-122.215833,2570,2450,2370,
37.822333,-122.215833,2570,2420,2330,
40.6345,-116.7285,2830,2830,2820,
40.6345,-116.7285,2840,2830,2830,
40.6345,-116.7285,2820,2810,2800,
40.6345,-116.7285,2820,2820,2810,
40.6345,-116.7285,2820,2820,2810,
40.6345,-116.7285,2820,2810,2810,
41.9685,-120.104,2876,2863,2856,
40.32507,-116.98881,2385,2301,2240,
40.16288,-116.637,2563,2527,2504,
40.28221,-115.9155,2325,2081,1897,
40.28221,-115.9155,2635,2594,2568,
41.564833,-120.2685,2566,2387,2273,
41.565667,-120.269333,2551,2333,2192,
41.575667,-120.2735,2747,2732,2723,
41.569667,-120.263667,2495,2192,1990,
,,2633,2333,2149,
,,2554,2408,2314,
41.577833,-120.2625,2662,2623,2599,
,,2523,2376,2280,
41.609,-120.242333,2307,2181,2086,
41.563167,-120.218667,2626,2417,2289,
41.555167,-120.22,2789,2781,2777,
41.578833,-120.243,2668,2652,2642,
41.5695,-120.188833,2564,2460,2393,
,,2550,2475,2426,
,,2702,2656,2629,
,,2549,2535,2526,
,,2558,2530,2511,
41.5775,-120.238,2726,2492,2357,
41.588167,-120.271333,2525,2388,2299,
41.594,-120.279667,2555,2423,2339,
,,2600,2560,2540,
,,2440,2400,2370,
,,2560,2490,2440,
,,2360,2340,2330,
41.61,-120.217167,2176,2093,2023,
41.610167,-120.229,2271,2020,1823,
38.840667,-122.807667,2870,2780,2730,
38.551167,-122.670333,2470,2380,2330,
38.551167,-122.670333,1790,1680,1550,
38.591667,-122.811833,2800,2770,2750,
